n_layers,n_params,repeat,fold,r_train_log,r_test_log,RMSE_train_log,RMSE_test_log,R2_test_log,r_train_z,r_test_z,RMSE_train_z,RMSE_test_z,R2_test_z,nh_viol_train,nh_viol_test,r_nh_pred_train,r_nh_pred_test
1,42,3,4,0.6532106087974151,0.5242981863939397,0.13518020740133285,0.19113890797145847,0.23499985838791027,0.6697379521525765,0.4955460292881702,1.0264297336771746,1.4411900139919385,0.13473706414067077,0.3305748485296291,0.33201581027667987,0.5155920154784056,0.5353644445660237
1,42,3,5,0.6486558243891457,0.6738916846613728,0.14455764113711933,0.1216373052108257,0.3350781123945201,0.6652999565471407,0.6659345656972443,1.0940911956280261,0.8795080443106578,0.3030778921071875,0.30840845278557705,0.37549407114624506,0.5564062229686408,0.42920802842398215
1,42,3,6,0.6564705225385085,0.48054365956961065,0.14453244310597496,0.12705556556247602,0.08069430702199332,0.6636850368533933,0.5726371796304954,1.1127620532718292,0.7475924472672609,0.2477730078781668,0.31253962834707116,0.3116883116883117,0.5547481776189294,0.45267024285072316
1,42,3,7,0.6579581362817345,0.49589670804055697,0.14061048805688586,0.15814892775842443,0.20311246476412737,0.6618450245127477,0.5396190397778404,1.0819124346362856,0.978576881487255,0.24647489953709334,0.32590352631322245,0.2987012987012987,0.5225123744449981,0.5847525240692979
1,42,3,8,0.6595100876225456,0.6264851580364746,0.1422528960174386,0.12896459741977778,0.3618061736410505,0.674462844300277,0.6759409389851888,1.0787508852534893,1.005023181026067,0.3630508260473353,0.32361117885187535,0.3246753246753247,0.5328364798004463,0.49832324711546666
1,42,3,9,0.6379787112329276,0.6287191987942574,0.1434328092490286,0.13723363419653958,0.24533607855415773,0.647539490938878,0.6575383691112358,1.098337210076389,0.9218688669763626,0.3340621217246731,0.3319026483929181,0.3593073593073593,0.49282023975530587,0.46166143138162896
1,42,3,10,0.6339107351533557,0.7529144271077228,0.14402823227617023,0.1297162523964419,0.4276910440109154,0.6653862497869741,0.7113129929367916,1.1064268801545802,0.836758007352071,0.4224915672197199,0.311954348144174,0.27705627705627706,0.5652879721120482,0.6442504052980939
1,42,4,1,0.6483194613288308,0.5470933851525746,0.1418847772614207,0.16110399456105126,0.2322813685177738,0.6600302048218807,0.549851717394998,1.0814611428014174,1.1022015005599906,0.23486756334375714,0.33096891778730114,0.42292490118577075,0.5056272594802174,0.32380356305212493
1,42,4,2,0.6305059196498974,0.48540216999259583,0.14325813890085115,0.13147651203400038,0.21419741309082996,0.639323484806424,0.5432742144605451,1.0945700140190222,0.8010348963472741,0.2884775554935126,0.34481060046303136,0.391304347826087,0.4618877679009403,0.2928388997845934
1,42,4,3,0.6568803495823304,0.5142948365072604,0.14019936316293694,0.15959487396177952,0.22020660904439848,0.6654954633151517,0.5369145208367936,1.0707581533372381,1.190124500488389,0.18534278398429527,0.33717550859563566,0.3438735177865613,0.4831072942575837,0.49828075184951137
1,42,4,4,0.6400210327281732,0.6041298706148535,0.14218531369684526,0.14330104064027818,0.3468722025862945,0.6517703945596461,0.5784491604631454,1.0749155222340836,1.1951683147381025,0.2751258443344857,0.3485049997537067,0.23715415019762845,0.45759744807294617,0.6413223268894138
1,42,4,5,0.6421775509086775,0.5441676345682106,0.14423203855795996,0.12344308469984205,0.28216269465686983,0.6561903689878271,0.49502211490454967,1.1004898194254835,0.8346744435855793,0.23436972992560068,0.3263878626668637,0.3557312252964427,0.519810900693679,0.3959139681638068
1,42,4,6,0.6165225009645079,0.5837787021311663,0.1465954102167166,0.15501202671536296,0.1211864603169982,0.6282480552689421,0.63805036482296,1.1084337235574562,1.252423715498082,0.0013248614120354718,0.317758376822904,0.2943722943722944,0.5379375911380978,0.5502650386010461
1,42,4,7,0.624540821525343,0.7917527056334863,0.1451830533666801,0.13410069448245407,0.4257373120495731,0.6317599958248369,0.820036177514461,1.1015500548742811,1.1181257627463204,0.3657164526862988,0.33595083646295665,0.2813852813852814,0.4926762810661481,0.6597910915284222
1,42,4,8,0.6331087520277521,0.6455061144683328,0.1459386719812363,0.12723314746489459,0.3480355630881421,0.656046051268724,0.569273125245868,1.1083584547925935,1.0001138404782304,0.2513258084975648,0.31668536311759254,0.3246753246753247,0.5446979837041508,0.4490098259419421
